switchID_t, egress_port, qid, enq_qdepth
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 1, 1
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 1
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 1
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 1
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 2
1, 2, 0, 1
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 1
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 1
3, 2, 1, 2
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 1
5, 2, 0, 3
1, 2, 0, 0
3, 2, 0, 1
5, 2, 0, 1
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 1
1, 2, 1, 1
3, 2, 1, 2
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 1
1, 2, 0, 7
3, 2, 0, 1
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 1
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 1
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 1
5, 2, 0, 1
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 2
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 6
5, 2, 1, 1
1, 2, 1, 2
3, 2, 0, 2
5, 2, 0, 2
1, 2, 0, 1
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 1
5, 2, 0, 0
1, 2, 0, 3
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 6
1, 2, 0, 4
3, 2, 1, 3
5, 2, 1, 1
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 1
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 1
5, 2, 1, 1
1, 2, 1, 1
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 1
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 0
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
3, 2, 0, 1
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 1
1, 2, 1, 1
3, 2, 1, 1
5, 2, 1, 1
1, 2, 1, 0
3, 2, 0, 1
5, 2, 0, 0
1, 2, 0, 0
3, 2, 1, 0
5, 2, 1, 0
1, 2, 1, 0
